USA,UnitedStates,9147420
CHN,China,9327480
JPN,Japan,364500
DEU,Germany,348610
FRA,France,547660
GBR,UnitedKingdom,241930
BRA,Brazil,8459420
RUS,RussianFederation,16376870
ITA,Italy,294140
IND,India,2973190
CAN,Canada,9093510
AUS,Australia,7682300
ESP,Spain,498800
MEX,Mexico,1943950
KOR,"Korea,Rep.",97100
IDN,Indonesia,1811570
TUR,Turkey,769630
NLD,Netherlands,33730
SAU,SaudiArabia,2149690
CHE,Switzerland,40000
SWE,Sweden,410340
IRN,"Iran,IslamicRep.",1628550
NOR,Norway,305470
POL,Poland,304200
BEL,Belgium,30280
ARG,Argentina,2736690
AUT,Austria,82430
ZAF,SouthAfrica,1214470
VEN,"Venezuela,RB",882050
COL,Colombia,1109500
THA,Thailand,510890
ARE,UnitedArabEmirates,83600
DNK,Denmark,42430
MYS,Malaysia,328550
SGP,Singapore,700
CHL,Chile,743530
HKG,"HongKongSAR,China",1042
EGY,"Egypt,ArabRep.",995450
NGA,Nigeria,910770
ISR,Israel,21640
PHL,Philippines,298170
GRC,Greece,128900
FIN,Finland,303900
PAK,Pakistan,770880
PRT,Portugal,91470
IRL,Ireland,68890
IRQ,Iraq,434320
DZA,Algeria,2381740
PER,Peru,1280000
KAZ,Kazakhstan,2699700
CZE,CzechRepublic,77250
UKR,Ukraine,579320
QAT,Qatar,11590
NZL,NewZealand,263310
KWT,Kuwait,17820
VNM,Vietnam,310070
HUN,Hungary,90530
BGD,Bangladesh,130170
AGO,Angola,1246700
PRI,PuertoRico,8870
MAR,Morocco,446300
SVK,SlovakRepublic,48090
ECU,Ecuador,248360
SYR,SyrianArabRepublic,183630
OMN,Oman,309500
CUB,Cuba,106440
AZE,Azerbaijan,82620
BLR,Belarus,202820
LKA,SriLanka,62710
HRV,Croatia,55960
DOM,DominicanRepublic,48320
SDN,Sudan,2376000
LUX,Luxembourg,2590
UZB,Uzbekistan,425400
BGR,Bulgaria,108560
GTM,Guatemala,107160
URY,Uruguay,175020
TUN,Tunisia,155360
SVN,Slovenia,20140
CRI,CostaRica,51060
MAC,"MacaoSAR,China",28
LBN,Lebanon,10230
LTU,Lithuania,62670
ETH,Ethiopia,1000000
GHA,Ghana,227540
KEN,Kenya,569140
SRB,Serbia,87460
PAN,Panama,74340
YEM,"Yemen,Rep.",527970
TKM,Turkmenistan,469930
JOR,Jordan,88780
BHR,Bahrain,760
LVA,Latvia,62180
TZA,Tanzania,885800
BOL,Bolivia,1083300
PRY,Paraguay,397300
CMR,Cameroon,472710
CIV,Coted'Ivoire,318000
SLV,ElSalvador,20720
TTO,TrinidadandTobago,5130
CYP,Cyprus,9240
EST,Estonia,42390
ZMB,Zambia,743390
AFG,Afghanistan,652230
UGA,Uganda,199810
NPL,Nepal,143350
HND,Honduras,111890
GAB,Gabon,257670
GNQ,EquatorialGuinea,28050
BIH,BosniaandHerzegovina,51000
BRN,BruneiDarussalam,5270
GEO,Georgia,69490
PNG,PapuaNewGuinea,452860
JAM,Jamaica,10830
BWA,Botswana,566730
MOZ,Mozambique,786380
SEN,Senegal,192530
KHM,Cambodia,176520
COG,"Congo,Rep.",341500
ISL,Iceland,100250
NAM,Namibia,823290
TCD,Chad,1259200
ALB,Albania,27400
NIC,Nicaragua,120340
MUS,Mauritius,2030
BFA,BurkinaFaso,273600
MLI,Mali,1220190
MNG,Mongolia,1553560
MDG,Madagascar,581540
ARM,Armenia,28480
ZWE,Zimbabwe,386850
MKD,"Macedonia,FYR",25220
LAO,LaoPDR,230800
MLT,Malta,320
BHS,"Bahamas,The",10010
HTI,Haiti,27560
BEN,Benin,110620
MDA,Moldova,32890
RWA,Rwanda,24670
TJK,Tajikistan,139960
NER,Niger,1266700
KGZ,KyrgyzRepublic,191800
KSV,Kosovo,10887
MCO,Monaco,2
GIN,Guinea,245720
BMU,Bermuda,50
SUR,Suriname,156000
MNE,Montenegro,13450
MWI,Malawi,94280
BRB,Barbados,430
MRT,Mauritania,1030700
FJI,Fiji,18270
TGO,Togo,54390
SLE,SierraLeone,71620
SWZ,Swaziland,17200
ERI,Eritrea,101000
GUY,Guyana,196850
ABW,Aruba,180
BDI,Burundi,25680
LSO,Lesotho,30360
MDV,Maldives,300
CAF,CentralAfricanRepublic,622980
CPV,CapeVerde,4030
BTN,Bhutan,38390
LBR,Liberia,96320
BLZ,Belize,22810
LCA,St.Lucia,610
ATG,AntiguaandBarbuda,440
SYC,Seychelles,460
SLB,SolomonIslands,27990
GMB,"Gambia,The",10000
GNB,Guinea-Bissau,28120
VUT,Vanuatu,12190
GRD,Grenada,340
KNA,St.KittsandNevis,260
VCT,St.VincentandtheGrenadines,390
WSM,Samoa,2830
COM,Comoros,1860
DMA,Dominica,750
TON,Tonga,720
FSM,"Micronesia,Fed.Sts.",700
STP,SaoTomeandPrincipe,960
PLW,Palau,460
MHL,MarshallIslands,180
KIR,Kiribati,810
TUV,Tuvalu,30
